ticker,ticker_eodhd,close,rv_current,rv_percentile,rv_52w_max,expansion_ratio,tier,rv_short,term_structure,dollar_volume_30d,last_date,rank_expansion,rank_vol_band,borda_score,borda_rank,is_candidate
PLD,PLD.US,143.47,15.27,23.4,36.44,2.39,MEDIUM,15.55,1.018,473529249,2026-05-29,200.0,175.0,287.5,216,False
DECK,DECK.US,113.85,41.7,66.3,109.69,2.63,MEDIUM,35.01,0.84,236199274,2026-05-29,214.0,151.0,289.5,217,False
FTNT,FTNT.US,137.97,41.09,75.8,114.0,2.77,MEDIUM,63.86,1.554,812989862,2026-05-29,219.0,146.0,292.0,218,False
MRNA,MRNA.US,47.19,41.91,6.0,110.95,2.65,MEDIUM,13.52,0.323,341670372,2026-05-29,215.0,155.0,292.5,219,False
SPY,SPY.US,756.48,9.34,21.4,21.96,2.35,MEDIUM,4.22,0.452,36482226230,2026-05-29,196.0,200.0,296.0,220,False
ZTS,ZTS.US,77.69,45.47,88.5,111.64,2.46,MEDIUM,19.75,0.434,598497314,2026-05-29,205.0,184.0,297.0,221,False
LMT,LMT.US,530.45,17.91,29.8,51.65,2.88,MEDIUM,20.24,1.13,811288831,2026-05-29,223.0,148.0,297.0,222,False
LYV,LYV.US,168.41,18.07,3.2,53.82,2.98,MEDIUM,6.84,0.379,446180980,2026-05-29,226.0,147.0,299.5,223,False
DDOG,DDOG.US,247.35,43.66,40.9,119.74,2.74,MEDIUM,63.02,1.443,1537392300,2026-05-29,216.0,172.0,302.0,224,False
SBUX,SBUX.US,99.16,16.75,3.2,47.76,2.85,MEDIUM,15.2,0.907,770905326,2026-05-29,221.0,163.0,302.5,225,False
ORCL,ORCL.US,225.78,61.85,75.8,147.97,2.39,MEDIUM,75.37,1.219,5497610023,2026-05-29,201.0,225.0,313.5,226,False
